name;essround;edition;proddate;idno;cntry;dweight;pweight;polintr;psppsgva;psppipla;trstprl;trstplt;trstprt;vote;pbldmna;clsprty;gndr;agea;edulvlb;hinctnta;prob;stratum;psu
ESS11e01;11;10;20062024;50707;AT;1021017;33091453;4;2;2;4;4;4;1;2;2;2;42;212;5;6716481;11;394
ESS11e01;11;10;20062024;50730;AT;80748725;33091453;1;3;4;7;6;5;1;2;1;1;60;322;7;8492568;22;425
ESS11e01;11;10;20062024;50868;AT;4114013;33091453;4;2;2;5;2;3;2;2;2;2;20;322;4;16668981;89;225
ESS11e01;11;10;20062024;50897;AT;5487113;33091453;2;4;5;9;9;9;1;2;1;2;80;212;2;12497721;42;25
ESS11e01;11;10;20062024;50910;AT;5079797;33091453;2;4;4;10;10;10;1;2;1;2;75;212;1;13499833;64;109
ESS11e01;11;10;20062024;50994;AT;1483479;33091453;2;1;1;4;1;1;1;2;2;2;87;322;6;46226743;29;693
ESS11e01;11;10;20062024;50995;AT;12219335;33091453;2;3;2;6;3;4;1;2;2;2;57;520;9;56121225;38;3
ESS11e01;11;10;20062024;51015;AT;9658987;33091453;1;2;2;2;2;2;1;2;1;1;76;322;6;70997514;17;411
ESS11e01;11;10;20062024;51029;AT;65483123;33091453;2;2;2;4;4;5;1;2;2;1;61;322;3;10472379;36;796
ESS11e01;11;10;20062024;51086;AT;41370142;33091453;2;4;5;9;6;6;1;2;1;2;43;520;9;16576303;108;318
ESS11e01;11;10;20062024;51112;AT;16209534;33091453;2;3;3;5;5;3;1;2;2;1;51;322;6;42306219;58;82
ESS11e01;11;10;20062024;51128;AT;22314548;33091453;1;3;3;5;4;4;1;1;1;1;69;423;9;30731704;30;708
ESS11e01;11;10;20062024;51191;AT;8656501;33091453;2;3;3;2;0;0;2;2;2;2;74;322;6;7921954;99;263
ESS11e01;11;10;20062024;51192;AT;99821126;33091453;2;3;2;4;2;3;1;2;1;2;68;422;8;6869929;48;42
ESS11e01;11;10;20062024;51221;AT;13078376;33091453;3;3;3;6;5;5;1;2;2;2;36;423;6;52434957;109;328
ESS11e01;11;10;20062024;51224;AT;8146224;33091453;1;3;3;7;6;7;1;2;1;1;87;520;10;8418183;38;1
ESS11e01;11;10;20062024;51231;AT;9982112;33091453;2;3;3;5;4;5;1;2;1;2;74;212;5;68699295;48;44
ESS11e01;11;10;20062024;51259;AT;426831;33091453;3;2;2;7;5;5;1;2;1;1;24;322;2;16066408;90;227
ESS11e01;11;10;20062024;51262;AT;13870435;33091453;2;3;3;4;3;2;1;2;2;1;59;322;6;494407;35;757
ESS11e01;11;10;20062024;51322;AT;340339;33091453;3;2;3;7;2;1;2;2;2;1;32;322;7;2014944;11;394
ESS11e01;11;10;20062024;51414;AT;5560615;33091453;3;2;2;4;2;2;1;2;1;2;47;423;3;12332522;101;284
ESS11e01;11;10;20062024;51440;AT;581818;33091453;1;2;2;6;0;0;1;2;1;1;45;710;9;11786573;5;363
ESS11e01;11;10;20062024;51455;AT;2165643;33091453;2;3;2;6;5;3;1;2;2;1;44;423;8;3166561;53;61
ESS11e01;11;10;20062024;51504;AT;4350144;33091453;3;2;1;3;2;2;1;2;1;1;20;322;1;15764169;103;305
ESS11e01;11;10;20062024;51506;AT;2495528;33091453;1;3;3;6;4;5;1;2;1;1;33;520;7;27479717;48;39
ESS11e01;11;10;20062024;51521;AT;13608531;33091453;3;3;3;7;7;7;1;1;1;1;27;322;5;5039222;2;550
ESS11e01;11;10;20062024;51555;AT;53514904;33091453;3;2;2;4;2;2;1;2;1;1;28;322;2;1281445;56;71
ESS11e01;11;10;20062024;51578;AT;12337465;33091453;2;2;3;3;1;1;1;2;2;1;73;322;10;55583863;19;420
ESS11e01;11;10;20062024;51581;AT;6098981;33091453;2;3;3;8;6;5;1;2;1;1;62;322;4;11243912;69;126
ESS11e01;11;10;20062024;51596;AT;8885217;33091453;2;2;2;7;6;6;1;2;1;1;58;322;6;7718034;14;397
ESS11e01;11;10;20062024;51713;AT;7275956;33091453;3;2;2;4;5;3;1;2;2;1;38;423;7;94250706;61;99
ESS11e01;11;10;20062024;51720;AT;9658987;33091453;2;3;1;7;3;3;1;2;1;2;74;322;7;70997514;17;410
ESS11e01;11;10;20062024;51731;AT;2946434;33091453;2;3;3;6;5;5;1;1;1;1;42;720;9;23274373;21;605
